rep,roc_auc,pr_auc,brier,log_loss
281,0.46853146853146854,0.09777526160544983,0.13329473582001364,0.4386649912122254
282,0.48041958041958044,0.10032857156667505,0.14606630177511865,0.4656594476383957
283,0.45104895104895115,0.09531945295619605,0.14747668817147028,0.46971844835719606
284,0.4874125874125874,0.10586544719426447,0.14141797778012913,0.45367323131544157
285,0.5006993006993007,0.10436448521127295,0.13774553838979514,0.44824574032766973
286,0.4713286713286713,0.09831003272803707,0.14643163558043207,0.4665919826834505
287,0.4867132867132867,0.1021210530415469,0.14937401199025058,0.4724430987479989
288,0.47272727272727266,0.09853803529583749,0.15751666201322295,0.488882620652659
289,0.46293706293706294,0.09698252215235198,0.16151755018438158,0.4971290674654867
290,0.46293706293706294,0.10009558064992176,0.13770964303133376,0.44677605364876716
291,0.4783216783216783,0.09942530292534248,0.1414535038286536,0.4555215022939337
292,0.4881118881118881,0.10116051832351844,0.14343057431711737,0.45964033518870745
293,0.4608391608391609,0.09958108204670588,0.14315701331241829,0.4594877054641724
294,0.45874125874125876,0.09658539660792381,0.14108541306430258,0.45634834592720747
295,0.4608391608391609,0.0965583385300404,0.14995125908292453,0.4734528684039705
296,0.4734265734265734,0.09975288952249728,0.14921852630824692,0.47249671036062413
297,0.47622377622377626,0.10055475436521492,0.13501511292315913,0.443151598905597
298,0.48601398601398604,0.10219324903612977,0.13626856864655634,0.4448515629824566
299,0.4818181818181818,0.10257773416175775,0.13209352365215327,0.43678005866282227
